refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,8.364,36,0
VCOMP0,VCOMP0-1,0,-36,0
VCOMP1,VCOMP1-0,8.09762,-7.00001,0.0142857
VCOMP1,VCOMP1-1,0.0535668,7.00001,0.0142857
VCOMP2,VCOMP2-0,8.08019,-7.00001,0.0142857
VCOMP2,VCOMP2-1,0.0545435,7.00001,0.0142857
VCOMP3,VCOMP3-0,8.18609,-7.00001,0.0142857
VCOMP3,VCOMP3-1,0.0310612,7.00001,0.0142857
VCOMP4,VCOMP4-0,8.17712,-7.00001,0.0142857
VCOMP4,VCOMP4-1,0.0379809,7.00001,0.0142857
VCOMP5,VCOMP5-0,8.06321,-8,0.0125
VCOMP5,VCOMP5-1,0.0530062,8,0.0125
VCOMP6,VCOMP6-0,8.29341,-36,5e-07
VCOMP6,VCOMP6-1,8.29333,36,5e-07
VCOMP7,VCOMP7-0,8.11476,-7,5e-07
VCOMP7,VCOMP7-1,8.11475,7,5e-07
VCOMP8,VCOMP8-0,8.1112,-7,5e-07
VCOMP8,VCOMP8-1,8.11119,7,5e-07
VCOMP9,VCOMP9-0,8.10541,-7,5e-07
VCOMP9,VCOMP9-1,8.10539,7,5e-07
VCOMP10,VCOMP10-0,0.0460439,7,5e-07
VCOMP10,VCOMP10-1,0.0460579,-7,5e-07
VCOMP11,VCOMP11-0,8.0963,-7,5e-07
VCOMP11,VCOMP11-1,8.09628,7,5e-07
VCOMP12,VCOMP12-0,8.09404,-7,5e-07
VCOMP12,VCOMP12-1,8.09403,7,5e-07
VCOMP13,VCOMP13-0,8.08777,-7,5e-07
VCOMP13,VCOMP13-1,8.08776,7,5e-07
VCOMP14,VCOMP14-0,0.0472679,7,5e-07
VCOMP14,VCOMP14-1,0.0472819,-7,5e-07
VCOMP15,VCOMP15-0,8.20077,-7,5e-07
VCOMP15,VCOMP15-1,8.20075,7,5e-07
VCOMP16,VCOMP16-0,8.19718,-7,5e-07
VCOMP16,VCOMP16-1,8.19716,7,5e-07
VCOMP17,VCOMP17-0,8.19376,-7,5e-07
VCOMP17,VCOMP17-1,8.19375,7,5e-07
VCOMP18,VCOMP18-0,0.0236075,7,5e-07
VCOMP18,VCOMP18-1,0.0236215,-7,5e-07
VCOMP19,VCOMP19-0,8.19367,-7,5e-07
VCOMP19,VCOMP19-1,8.19365,7,5e-07
VCOMP20,VCOMP20-0,8.1902,-7,5e-07
VCOMP20,VCOMP20-1,8.19019,7,5e-07
VCOMP21,VCOMP21-0,8.18456,-7,5e-07
VCOMP21,VCOMP21-1,8.18455,7,5e-07
VCOMP22,VCOMP22-0,0.0308775,7,5e-07
VCOMP22,VCOMP22-1,0.0308915,-7,5e-07
VCOMP23,VCOMP23-0,8.08207,-8,5e-07
VCOMP23,VCOMP23-1,8.08205,8,5e-07
VCOMP24,VCOMP24-0,8.07817,-8,5e-07
VCOMP24,VCOMP24-1,8.07815,8,5e-07
VCOMP25,VCOMP25-0,8.07295,-8,5e-07
VCOMP25,VCOMP25-1,8.07294,8,5e-07
VCOMP26,VCOMP26-0,0.0440419,8,5e-07
VCOMP26,VCOMP26-1,0.0440579,-8,5e-07
